3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,,,,,,,,,,,,,,,0,4,,,4,4,4,4,4,,,,,,,1,,3
3,,,2,,,,,,,400,0,,,,0,4,,,400,1,1,4,1,,2,,,2,202,1,,3
3,,,1,2,,,,,,0,0,,,0,300,4,,,2,4,1,1,1,5,1,,2,1,2001,1,,3
3,,,1,1,2, , ,2, , ,202,0, ,2,2,4,2,2,1,4,4,4,1,1,,2,1,,1,,,3
3,,,1,1,1,5,5,1,5,5,1,5,5,1,1,4,1006,1,4,1,1,1,,,2,1,,,1,,,3
3,,,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,,,,,2,1,,,,1,,,3
3,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,2,2,402,2,1,,,,,1,,,3
3,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,1,,,3
3,,,1,0,  , , , , , ,2, , ,1,402, ,,,,2,0,0,,,,,,,1,,,3
3,2,2,2,102,102, ,102,102,102, ,1, ,102,1,1,2,,0,2,1,202,102,,102,,102,2,402,1,,,3
3,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,5,5,1,1,1,1,5,1,5,1,1,1,1,,,3
3,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,,,3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
